# Concentration en fonction du temps
# colonne 1 : t (s)
# colonne 2 : C (mol.L-1.s-1)
# colonne 3 : Delta C (mol.L-1.s-1)
  0.000000     1.000000e+03     7.651235e-01
  2.142857     6.514391e+02     3.149883e+01
  4.285714     4.243728e+02     2.406254e+01
  6.428571     2.764530e+02     2.488717e+01
  8.571429     1.800923e+02     1.083714e+01
 10.714286     1.173192e+02     3.085062e+00
 12.857143     7.642629e+01     6.056920e+00
 15.000000     4.978707e+01     4.368862e+00
 17.142857     3.243324e+01     1.687457e+00
 19.285714     2.112828e+01     1.753297e+00
 21.428571     1.376379e+01     6.901806e-01
 23.571429     8.966268e+00     8.203358e-01
 25.714286     5.840977e+00     5.460504e-01
 27.857143     3.805041e+00     2.701654e-02
 30.000000     2.478752e+00     2.633295e-02
